Field Name,Field Title,Alt Piece Names,Classic Type,Data Type,Definition,Description,Notes,Index Field
Piece Name,,,,,,,,Classic XPath
protocolSection,Protocol Section,,STRUCT,ProtocolSection,Study Protocol,,,protocolSection
ProtocolSection,,,,,,,,/Study/ProtocolSection
identificationModule,,,STRUCT,IdentificationModule,Study Identification,,,protocolSection.identificationModule
IdentificationModule,,,,,,,,/Study/ProtocolSection/IdentificationModule
nctId,,NCT-ID,TEXT,text (stats),,,,protocolSection.identificationModule.nctId
NCTId,,,,,,,,/Study/ProtocolSection/IdentificationModule/NCTId
nctIdAliases,,,TEXT,text[] ✓ (stats),,,,protocolSection.identificationModule.nctIdAliases
NCTIdAlias,,,,,,,,/Study/ProtocolSection/IdentificationModule/NCTIdAliasList/NCTIdAlias
numNctAliases ✗,,,FUNC NOccrs(NCTIdAlias),short (stats),,,,protocolSection.identificationModule.numNctAliases
NumNCTAliases,,,,,,,,/Study/ProtocolSection/IdentificationModule/NumNCTAliases
orgStudyIdInfo,,,STRUCT,OrgStudyIdInfo,,,,protocolSection.identificationModule.orgStudyIdInfo
OrgStudyIdInfo,,,,,,,,/Study/ProtocolSection/IdentificationModule/OrgStudyIdInfo
id,,ORGANIZATION-STUDY-ID,TEXT,text ✓ (stats),Unique Protocol Identification Number,,,protocolSection.identificationModule.orgStudyIdInfo.id
OrgStudyId,,,,,,,,/Study/ProtocolSection/IdentificationModule/OrgStudyIdInfo/OrgStudyId
type,,ORGANIZATION-STUDY-ID-TYPE,TEXT,enum OrgStudyIdType (stats),,,,protocolSection.identificationModule.orgStudyIdInfo.type
OrgStudyIdType,,,,,,,,/Study/ProtocolSection/IdentificationModule/OrgStudyIdInfo/OrgStudyIdType
link,,,TEXT,text (stats),,,,protocolSection.identificationModule.orgStudyIdInfo.link
OrgStudyIdLink,,,,,,,,/Study/ProtocolSection/IdentificationModule/OrgStudyIdInfo/OrgStudyIdLink
secondaryIdInfos,,,STRUCT,SecondaryIdInfo[],,,,protocolSection.identificationModule.secondaryIdInfos
SecondaryIdInfo,,,,,,,,/Study/ProtocolSection/IdentificationModule/SecondaryIdInfoList/SecondaryIdInfo
id,,SECONDARY-ID,TEXT,text ✓ (stats),Secondary IDs,,,protocolSection.identificationModule.secondaryIdInfos.id
SecondaryId,,,,,,,,/Study/ProtocolSection/IdentificationModule/SecondaryIdInfoList/SecondaryIdInfo/SecondaryId
type,,SECONDARY-ID-TYPE,TEXT,enum SecondaryIdType (stats),Secondary ID Type,,,protocolSection.identificationModule.secondaryIdInfos.type
SecondaryIdType,,,,,,,,/Study/ProtocolSection/IdentificationModule/SecondaryIdInfoList/SecondaryIdInfo/SecondaryIdType
domain,,SECONDARY-ID-DOMAIN,TEXT,text ✓ (stats),Description,,,protocolSection.identificationModule.secondaryIdInfos.domain
SecondaryIdDomain,,,,,,,,/Study/ProtocolSection/IdentificationModule/SecondaryIdInfoList/SecondaryIdInfo/SecondaryIdDomain
link,,,TEXT,text (stats),,,,protocolSection.identificationModule.secondaryIdInfos.link
SecondaryIdLink,,,,,,,,/Study/ProtocolSection/IdentificationModule/SecondaryIdInfoList/SecondaryIdInfo/SecondaryIdLink
numSecondaryIds ✗,,NUMBER-OF-SECONDARY_IDS,FUNC NOccrs(SecondaryId),short (stats),,,,protocolSection.identificationModule.numSecondaryIds
NumSecondaryIds,,,,,,,,/Study/ProtocolSection/IdentificationModule/NumSecondaryIds
briefTitle,,BRIEF-TITLE,TEXT,text ✓ (stats),Brief Title,,,protocolSection.identificationModule.briefTitle
BriefTitle,,,,,,,,/Study/ProtocolSection/IdentificationModule/BriefTitle
officialTitle,,OFFICIAL-TITLE,TEXT,text ✓ (stats),Official Title,,,protocolSection.identificationModule.officialTitle
OfficialTitle,,,,,,,,/Study/ProtocolSection/IdentificationModule/OfficialTitle
acronym,,ACRONYM,TEXT,text ✓ (stats),Acronym,,,protocolSection.identificationModule.acronym
Acronym,,,,,,,,/Study/ProtocolSection/IdentificationModule/Acronym
organization,,,STRUCT,Organization,,,,protocolSection.identificationModule.organization
Organization,,,,,,,,/Study/ProtocolSection/IdentificationModule/Organization
fullName,,ORGANIZATION-FULLNAME,TEXT,text (stats),,,,protocolSection.identificationModule.organization.fullName
OrgFullName,,,,,,,,/Study/ProtocolSection/IdentificationModule/Organization/OrgFullName
