,ID,Sentence,disease
0,0,Patient or legally authorized representative provides written authorization and/or consent per institution and geographical requirements,{''}
1,1,Non-small cell lunch cancer (NSLC) with untreated asymptomatic brain metastases,"{'Non - small cell lunch cancer, N ##SL ##C'}"
2,2,Age≥18y,{''}
3,3,Clinical diagnosis of mild to severe OSA in the past year,{'OS ##A'}
4,4,Has localized high-risk or very high-risk prostate cancer based on the NCCN v4.2023 classification.,"{'pro, ##state cancer'}"
5,5,Being a nursing student,{''}
6,6,Have confirmed diagnosis of stage IV non-small cell lung cancer (NSCLC) according to the American Joint Committee on Cancer Staging Handbook.,"{'non - small cell lung cancer, N ##SC ##LC Cancer'}"
7,7,At least the 3rd day of hospitalization,{''}
8,8,"Male or female, aged 18 or older.",{''}
9,9,- COPD Cases,{'CO ##PD'}
10,10,Women of childbearing potential must not be known to be pregnant or lactating,{''}
11,11,years or older,{''}
12,12,Subject has moderate to severe plaque psoriasis for 6 months or longer with at least 10% Body Surface Area (BSA) affected,{'plaque ps ##oria ##sis'}
13,13,Healthy and free of any significant medical problems,{''}
14,14,"Have a diagnosis of ovarian, fallopian tube, or primary peritoneal cancer who have received systemic chemotherapy including platinum-based chemotherapy","{'o ##var ##ian , fall ##op ##ian tube , or primary per ##ito ##nea ##l cancer'}"
15,15,(non-burned individuals),{''}
16,16,"A documented diagnosis of Hailey-Hailey disease confirmed with clinical, and histopathologic findings",{'Hailey - Hailey disease'}
17,17,"Adult patients (above 18 and older),",{''}
18,18,Signed written informed consent before inclusion in the investigation.,{''}
19,19,Be between 8 and 12 years of age inclusive at the time of enrollment.,{''}
20,20,Medical condition or disease to be investigated,{''}
21,21,Person over 60 years of age.,{''}
22,22,"Diagnosed with osteoarthritis of the knee,","{'o, ##ste ##oar ##th ##rit ##is of the knee'}"
23,23,Adult participants ≥18 years of age on the day of signing the informed consent form.,{''}
24,24,Subjects must be 22 years of age or older on the date the Informed Consent Form (ICF) is signed.,{''}
25,25,Age 18 years or older,{''}
26,26,Age between 18-60 years,{''}
27,27,"Age 18-85 years, BMI ≥ 18.5, have had clinical type 1 diabetes for at least one year, and have taken insulin for at least 1 year",{'type 1 diabetes'}
28,28,"moderate to severe allergic rhinitis due to grass pollen, with Rhinitis Total Symptom Score \>/= 8.","{'all ##ergic r ##hin ##itis pollen, R, ##hin ##itis'}"
29,29,Subject can provide written informed consent.,{''}
30,30,Male,{''}
31,31,"Pregnant female subjects at the study institution, admitted for labor (spontaneous, augmented, or induced) or cesarean delivery",{''}
32,32,Adults aged 19 years and older experiencing chronic neuropathic pain that is refractory to medical treatment and eligible for SCS based on FDA-approved indications.,"{'chronic ne ##uro ##pathic pain, SC ##S'}"
33,33,General Anaesthesia delivered with Propofol and Remifentanil with Targeted Controlled Infusion,{''}
34,34,Subject gives voluntary informed consent to participate in the study.,{''}
35,35,Prescribed micafungin for prophylaxis or treatment of fungal infections.,{'fun ##gal infections'}
36,36,Diagnosed with spinocerebellar ataxia,{'spin ##oc ##ere ##bella ##r at ##ax ##ia'}
37,37,Age 20-75 years,{''}
38,38,Male and female (if postmenopausal or hysterectomized) aged 18 years or older,{'h'}
39,39,Healthy Adults,{''}
40,40,The patients who were started Pirfenidone or Nintedanib treatment with the diagnosis of Idiopathic Pulmonary Fibrosis or Progressive Pulmonary Fibrosis according to An Official ATS/ERS/JRS/ALAT Clinical Practice guideline and treated for at least one year in our department between January 1 2010 and December 31 2022 The included patients had not previously used steroids or similar drugs for lung disease.,"{'I, ##dio ##pathic P ##ul ##mona ##ry Fi ##bro ##sis, Progressive P ##ul ##mona ##ry Fi ##bro ##sis, lung disease'}"
41,41,Novice pediatric nurses,{''}
